"Number of Registered Live Births by Sex and by Usual Residence of Mother (Region, Province and Highly Urbanized City), Philippines: January - December 2013-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
..ILOCOS SUR,11085,5771,5314,10741,5523,5218,10264,5309,4955,9833,5155,4678,9563,5068,4495,9119,4797,4322,9173,4832,4341,8489,4348,4141,7278,3796,3482,7371,3800,3571
..LA UNION,14042,7367,6675,13315,7008,6307,12531,6587,5944,11872,6259,5613,11212,5871,5341,11034,5782,5252,11185,5881,5304,10408,5384,5024,9075,4740,4335,8905,4628,4277
..PANGASINAN,56010,28935,27075,55247,28776,26471,54619,28466,26153,52215,27365,24850,50725,26418,24307,48572,25567,23005,48834,25819,23015,44367,23356,21011,39714,20716,18998,40304,21269,19035
REGION II (CAGAYAN VALLEY),63620,33107,30513,62320,32521,29799,60511,31516,28995,58490,30701,27789,56636,29586,27050,55635,28929,26706,53844,27927,25917,49956,26042,23914,45648,23875,21773,48798,25213,23585
..BATANES,320,174,146,280,159,121,286,152,134,256,139,117,262,143,119,280,131,149,275,129,146,256,133,123,273,128,145,237,139,98
..CAGAYAN,21852,11409,10443,20973,10920,10053,19860,10423,9437,18811,9939,8872,18182,9497,8685,17704,9181,8523,17167,8884,8283,16042,8350,7692,14410,7574,6836,15504,8107,7397
..ISABELA,28466,14743,13723,28107,14655,13452,27613,14468,13145,27002,14094,12908,26137,13671,12466,25807,13458,12349,24743,12869,11874,22487,11678,10809,20699,10840,9859,22319,11447,10872
..NUEVA VIZCAYA,9363,4905,4458,9380,4902,4478,9196,4656,4540,8982,4715,4267,8697,4515,4182,8485,4440,4045,8258,4284,3974,7871,4146,3725,7224,3749,3475,7528,3903,3625
..QUIRINO,3619,1876,1743,3580,1885,1695,3556,1817,1739,3439,1814,1625,3358,1760,1598,3359,1719,1640,3401,1761,1640,3300,1735,1565,3042,1584,1458,3210,1617,1593
REGION III (CENTRAL LUZON),197294,102609,94685,196409,102831,93578,196217,102803,93414,191245,100455,90790,191394,99847,91547,190592,99480,91112,191021,99403,91618,179603,93738,85865,159984,83117,76867,170318,88675,81643
..AURORA,3926,2028,1898,4055,2170,1885,3741,1936,1805,3792,1976,1816,3936,2017,1919,3787,1963,1824,3745,1955,1790,3601,1882,1719,3360,1772,1588,3185,1700,1485
..BATAAN,14762,7767,6995,14605,7628,6977,15103,7839,7264,14784,7729,7055,14556,7606,6950,14902,7741,7161,15576,8094,7482,13519,7009,6510,11712,6125,5587,12435,6459,5976
..BULACAN,54417,28201,26216,54847,28473,26374,55057,28867,26190,54422,28430,25992,54208,28238,25970,53964,28155,25809,52685,27370,25315,51697,26908,24789,46922,24266,22656,49094,25679,23415
..NUEVA ECIJA,34943,18342,16601,33469,17568,15901,32287,16956,15331,31445,16537,14908,32725,17126,15599,33282,17441,15841,33216,17392,15824,30579,16073,14506,28042,14561,13481,31088,16171,14917
